tag,tag_en
risultatoprimaimposte,earnings before taxes
garanzieimporto,guarantees amount
costiproduzioneservizi,production costs and services
patrimonionettoaltreriservedistintamenteindicatetotalealtreriserve,"total net equity,  other indicated strict reserves, total other reserves."
amministratorianticipazioni,administrator advances
patrimonionettoutileperditaesercizio,net equity and profit or loss of the fiscal year
acquisizioniesercizionumeroazioniquotesocietacontrollanti,acquisition of shares in controlling companies through exercise
alienazionieserciziocorrispettivoazioniquotesocietacontrollanti,compensation of shares in controlling companies through exercise
acquisizionieserciziopartecapitalecorrispondenteazioniquotesocietacontrollanti,acquisition of corresponding share capital in controlling companies through exercise
amministratoricrediti,administrator credits
totalepatrimonionetto,total net equity
valoreproduzionericavivenditeprestazioni,value produced from sales and services
valoreproduzionealtriricaviproventitotalealtriricaviproventi,total value produced from other revenues and profits
sindacicompensi,audit compensation
alienazioniesercizionumeroazioniquotesocietacontrollanti,compensation of shares in controlling companies through exercise
totaleattivocircolante,total current assets
alienazionieserciziovalorenominaleazioniproprie,compensation of own shares through exercise
alienazionieserciziocorrispettivoazioniproprie,compensation of own shares at nominal value through exercise
alienazionieserciziopartecapitalecorrispondenteazioniproprie,compensation of own share capital through exercise
creditiesigibilientroeserciziosuccessivo,credits that become payable within the next fiscal year
totalepassivo,total liabilities
alienazionieserciziopartecapitalecorrispondenteazioniquotesocietacontrollanti,compensation of corresponding share capital in controlling companies through exercise
azioniproprienumero,number of own shares
patrimonionettocapitale,net equity and capital
valoreproduzionealtriricaviproventicontributicontoesercizio,value produced from other revenues and profits from contributions to the fiscal year
utileperditaesercizio,profit or loss of the fiscal year
sindaciimpegniassuntilorocontoeffettogaranzieprestate,audit commitments for guaranteed loans and effects
impegniconfrontiimpresecontrollate,commitments to controlled companies
sindacianticipazioni,audit advances
totaleimmobilizzazionimateriali,total material immobilizations
alienazionieserciziovalorenominaleazioniquotesocietacontrollanti,compensation of shares in controlling companies through exercise at nominal value
alienazioniesercizionumeroazioniproprie,compensation of own shares through exercise
debitiesigibilientroeserciziosuccessivo,debts that become payable within the next fiscal year
totaleimmobilizzazioni,total fixed assets
amministratoricompensi,administrator compensation
totalevaloreproduzione,total value produced
azioniquotesocietacontrollantinumero,number of shares in controlling companies
totaledisponibilitaliquide,total liquid assets
totalecreditiversosociversamentiancoradovuti,total credits owed to suppliers and others
garanziereali,real guarantees
valoreproduzionevariazionirimanenzeprodotticorsolavorazionesemilavoratifinitilavoricorsoordi,"value produced from variations in production surplus from current processing, semi-finished and finished goods"
acquisizioniesercizionumeroazioniproprie,compensation of own shares through exercise
impegnimateriatrattamentoquiescenzasimili,commitments for similar purposes
costiproduzioneoneridiversigestione,diversified management costs
differenzavalorecostiproduzione,difference in value between production costs
amministratoriimpegniassuntilorocontoeffettogaranzieprestate,administrator commitments for guaranteed loans and effects
acquisizionieserciziocorrispettivoazioniproprie,compensation of own shares at nominal value through exercise
patrimonionettoriservasoprapprezzoazioni,net equity surplus from share premiums
totaleattivo,total assets
attivorateirisconti,discounted assets
totaledebiti,total debts
datianagraficicapitalesociale,company registered capital
totaleimmobilizzazioniimmateriali,total intangible assets
acquisizionieserciziovalorenominaleazioniquotesocietacontrollanti,compensation of shares in controlling companies at nominal value through exercise
acquisizionieserciziovalorenominaleazioniproprie,compensation of own shares at nominal value through exercise
impegniimporto,commitments amount
azioniquotesocietacontrollantipartecapitalecorrispondente,corresponding share capital in controlling companies
totalerimanenze,total remaining items / total income
totalecostiproduzione,total production costs
passivitapotenzialiimporto,potential liabilities amount
sindacicrediti,audit credits
impegniconfrontiimpresecollegate,commitments to affiliated companies
azioniproprievalorenominale,nominal value of own shares
valoreproduzionevariazionirimanenzeprodotticorsolavorazionesemilavoratifiniti,"value of production, variation of residual product, work in progress, finished work"
impegniconfrontiimpresecontrollanti,commitments to controlling companies
acquisizionieserciziocorrispettivoazioniquotesocietacontrollanti,compensation of own shares at nominal value through controlling companies
impegniconfrontiimpresesottopostecontrollocontrollanti,commitments to companies under the control of controlling companies
costiproduzionematerieprimesussidiarieconsumomerci,costs of primary and secondary raw materials and consumable goods
totalecrediti,total credits
azionipropriepartecapitalecorrispondente,corresponding share capital in own shares
acquisizionieserciziopartecapitalecorrispondenteazioniproprie,compensation of corresponding share capital in own shares through exercise
valoreproduzionealtriricaviproventialtri,value produced from other revenues and profits from other sources
azioniquotesocietacontrollantivalorenominale,nominal value of shares in controlling companies
